filename,det_thresh,max_age,iou_thresh,delta_t,avg_precision,avg_recall,total_IDsw,total_frames,runtime
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-10_supper_1_post_cam1.json,0.3,9,0.4,1,0.8465573484266339,0.29888454127357006,457,7351,2.1426944732666016
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-10_supper_1_post_cam0.json,0.3,9,0.4,1,0.8808846368849957,0.47500440214597517,244,7351,1.3569581508636475
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-10_lunch_5_post_cam0.json,0.3,9,0.4,1,0.7266979983840173,0.6348835475787039,1043,7165,5.685418605804443
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-10_lunch_5_post_cam1.json,0.3,9,0.4,1,0.7936897410862561,0.5959281202110236,1035,7165,4.707637786865234
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-10_lunch_1_post_cam1.json,0.3,9,0.4,1,0.7204862817249006,0.430493100065726,2292,10220,7.382267951965332
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-10_lunch_1_post_cam0.json,0.3,9,0.4,1,0.7113885810233083,0.4628711999868435,2839,10220,8.481634616851807
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-10_lunch_2_post_cam1.json,0.3,9,0.4,1,0.7522930383952378,0.44936357927713405,1292,6890,4.776301145553589
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-10_lunch_2_post_cam0.json,0.3,9,0.4,1,0.7826285205892559,0.49371909138876097,1473,6890,5.196155786514282
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-11_breakfast_1_post_cam0.json,0.3,9,0.4,1,0.8246871414628981,0.7814245565385879,571,14000,8.591742038726807
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-11_breakfast_1_post_cam1.json,0.3,9,0.4,1,0.8326229248436866,0.6670808857137105,262,14000,5.95572566986084
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-11_dinner_1_post_cam0.json,0.3,9,0.4,3,0.88799837610013,0.6734022537102788,390,6310,3.2091891765594482
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-11_dinner_1_post_cam1.json,0.3,9,0.4,3,0.8730197317476631,0.6708163679457794,178,6310,1.903536081314087
/mnt/drv8tb/tempo_remapped/export_output_path/2021-11-10_supper_1_post_cam1.json,0.3,9,0.4,3,0.8442933341745386,0.29888454127357006,458,7351,2.1597301959991455
